,activity,fatal_(y/n)
1090,,yes
1091,swimming,yes
1092,swimming,yes
1093,swimming,no
1094,fishing,no
1095,surfing,no
1096,surfing,yes
1097,swimming,no
1098,,no
1099,swimming,no
1100,surfing,no
1101,fishing,no
1102,fishing,no
1103,surfing,no
1104,swimming,no
1105,,yes
1106,,no
1107,swimming,no
1108,swimming,no
1109,swimming,no
1110,swimming,no
1111,fishing,no
1112,surfing,no
1113,surfing,no
1114,,no
1115,swimming,no
1116,surfing,no
1117,surfing,no
1118,,no
1119,fishing,no
1120,swimming,no
1121,swimming,no
1122,swimming,yes
1123,fishing,no
1124,swimming,no
1125,surfing,no
1126,surfing,no
1127,surfing,no
1128,fishing,no
1129,fishing,no
1130,,no
1131,surfing,no
1132,surfing,no
1133,swimming,no
1134,surfing,no
1135,surfing,no
1136,fishing,no
1137,surfing,no
1138,swimming,no
1139,fishing,no
1140,,no
1141,fishing,no
1142,surfing,yes
1143,surfing,no
1144,surfing,no
1145,surfing,no
1146,surfing,no
1147,fishing,no
1148,swimming,no
1149,,no
1150,surfing,yes
1151,fishing,no
1152,fishing,no
1153,surfing,no
1154,fishing,no
1155,surfing,no
1156,surfing,no
1157,surfing,no
1158,,yes
1159,surfing,no
1160,surfing,no
1161,fishing,no
1162,,no
1163,fishing,no
1164,fishing,no
1165,swimming,no
1166,swimming,yes
1167,swimming,no
1168,fishing,no
1169,surfing,no
1170,,yes
1171,swimming,no
1172,surfing,no
1173,surfing,no
1174,fishing,no
1175,surfing,no
1176,swimming,no
1177,fishing,no
1178,,no
1179,boat,no
1180,,no
1181,,no
1182,swimming,yes
1183,,no
1184,fishing,no
1185,fishing,no
1186,fishing,no
1187,fishing,yes
1188,swimming,no
1189,boat,no
1190,,no
1191,fishing,no
1192,fishing,yes
1193,fishing,yes
1194,swimming,no
1195,fishing,no
1196,fishing,no
1197,surfing,no
1198,fishing,no
1199,fishing,no
1200,surfing,no
1201,surfing,no
1202,swimming,no
1203,swimming,no
1204,surfing,no
1205,surfing,no
1206,surfing,no
1207,surfing,no
1208,surfing,no
1209,surfing,no
1210,surfing,no
1211,surfing,no
1212,swimming,no
1213,fishing,no
1214,surfing,no
1215,surfing,no
1216,surfing,no
1217,surfing,no
1218,swimming,no
1219,,no
1220,,no
1221,,no
1222,swimming,no
1223,surfing,no
1224,,no
1225,surfing,no
1226,swimming,no
1227,swimming,no
1228,surfing,no
1229,swimming,no
1230,,no
1231,,no
1232,surfing,no
1233,,no
1234,swimming,no
1235,surfing,no
1236,surfing,no
1237,swimming,no
1238,,no
1239,,no
1240,,no
1241,fishing,no
1242,surfing,no
1243,swimming,no
1244,surfing,no
1245,swimming,no
1246,surfing,no
1247,,no
1248,,no
1249,surfing,no
1250,surfing,no
1251,fishing,no
1252,surfing,no
1253,swimming,no
1254,surfing,no
1255,,no
1256,surfing,no
1257,surfing,yes
1258,swimming,yes
1259,swimming,no
1260,fishing,no
1261,,no
1262,fishing,no
1263,surfing,yes
1264,surfing,no
1265,surfing,no
1266,swimming,no
1267,surfing,no
1268,swimming,yes
1269,surfing,no
1270,,unknown
1271,swimming,no
1272,swimming,no
1273,surfing,no
1274,surfing,no
1275,fishing,no
1276,,no
1277,surfing,no
1278,,yes
1279,surfing,no
1280,surfing,no
1281,surfing,no
1282,,no
1283,surfing,no
1284,,no
1285,,no
1286,surfing,no
1287,swimming,yes
1288,fishing,no
1289,surfing,no
1290,surfing,no
1291,surfing,no
1292,swimming,no
1293,surfing,no
1294,,no
1295,,no
1296,,no
1297,surfing,no
1298,fishing,no
1299,surfing,no
1300,surfing,no
1301,swimming,no
1302,surfing,no
1303,swimming,no
1304,swimming,no
1305,surfing,no
1306,surfing,no
1307,fishing,no
1308,fishing,no
1309,surfing,no
1310,surfing,no
1311,surfing,no
1312,surfing,no
1313,surfing,no
1314,swimming,no
1315,,no
1316,surfing,no
1317,fishing,no
1318,surfing,no
1319,surfing,no
1320,surfing,no
1321,boat,yes
1322,swimming,yes
1323,fishing,no
1324,surfing,no
1325,swimming,no
1326,swimming,no
1327,surfing,no
1328,surfing,no
1329,fishing,no
1330,,no
1331,surfing,no
1332,swimming,no
1333,,no
1334,,no
1335,,no
1336,,no
1337,swimming,no
1338,,no
1339,surfing,no
1340,surfing,no
1341,surfing,no
1342,swimming,no
1343,fishing,no
1344,swimming,no
1345,surfing,no
1346,,no
1347,boat,no
1348,swimming,no
1349,surfing,no
1350,swimming,no
1351,,no
1352,,no
1353,surfing,no
1354,surfing,no
1355,surfing,no
1356,fishing,no
1357,swimming,no
1358,,no
1359,swimming,no
1360,swimming,no
1361,swimming,no
1362,,no
1363,fishing,no
1364,surfing,no
1365,,no
1366,,no
1367,,no
1368,swimming,no
1369,surfing,no
1370,surfing,no
1371,surfing,no
1372,swimming,no
1373,surfing,no
1374,,no
1375,,no
1376,fishing,no
1377,,no
1378,surfing,no
1379,surfing,no
1380,swimming,no
1381,swimming,no
1382,swimming,no
1383,swimming,no
1384,,yes
1385,,no
1386,swimming,no
1387,,no
1388,surfing,no
1389,fishing,no
1390,surfing,no
1391,,no
1392,surfing,no
1393,,no
1394,,yes
1395,surfing,no
1396,surfing,no
1397,fishing,no
1398,swimming,no
1399,surfing,no
1400,fishing,no
1401,swimming,no
1402,,no
1403,fishing,no
1404,swimming,no
1405,,no
1406,swimming,no
1407,swimming,no
1408,surfing,yes
1409,surfing,no
1410,surfing,no
1411,surfing,no
1412,surfing,no
1413,surfing,no
1414,surfing,no
1415,fishing,no
1416,,no
1417,,yes
1418,swimming,no
1419,,no
1420,surfing,no
1421,fishing,no
1422,surfing,no
1423,surfing,no
1424,,no
1425,swimming,no
1426,,yes
1427,fishing,no
1428,surfing,no
1429,swimming,no
1430,surfing,no
1431,swimming,no
1432,surfing,no
1433,swimming,no
1434,,yes
1435,,no
1436,swimming,no
1437,surfing,no
1438,surfing,no
1439,surfing,no
1440,,no
1441,,no
1442,fishing,no
1443,,yes
1444,surfing,yes
1445,surfing,no
1446,,no
1447,,no
1448,fishing,no
1449,,no
1450,surfing,no
1451,,no
1452,surfing,no
1453,surfing,no
1454,surfing,no
1455,surfing,no
1456,,no
1457,,no
1458,swimming,no
1459,swimming,no
1460,,yes
1461,,no
1462,,no
1463,,no
1464,swimming,no
1465,fishing,no
1466,fishing,no
1467,,no
1468,fishing,no
1469,fishing,no
1470,surfing,no
1471,,yes
1472,swimming,no
1473,surfing,no
1474,,no
1475,surfing,no
1476,fishing,no
1477,,no
1478,surfing,no
1479,fishing,no
1480,surfing,no
1481,swimming,no
1482,,no
1483,swimming,no
1484,swimming,no
1485,,no
1486,surfing,no
1487,,no
1488,fishing,no
1489,surfing,no
1490,,no
1491,swimming,no
1492,,no
1493,fishing,yes
1494,surfing,no
1495,swimming,no
1496,surfing,no
1497,surfing,no
1498,,no
1499,swimming,no
1500,,no
1501,swimming,no
1502,fishing,no
1503,surfing,no
1504,swimming,yes
1505,,no
1506,,no
1507,fishing,no
1508,,no
1509,surfing,no
1510,swimming,no
1511,swimming,no
1512,swimming,yes
1513,surfing,no
1514,swimming,no
1515,surfing,no
1516,swimming,no
1517,,no
1518,fishing,no
1519,fishing,no
1520,surfing,no
1521,surfing,no
1522,fishing,no
1523,surfing,no
1524,surfing,no
1525,fishing,no
1526,surfing,no
1527,surfing,no
1528,,no
1529,fishing,no
1530,surfing,no
1531,surfing,no
1532,surfing,no
1533,,no
1534,,no
1535,surfing,no
1536,surfing,no
1537,surfing,no
1538,,no
1539,surfing,no
1540,swimming,no
1541,surfing,no
1542,swimming,no
1543,surfing,no
