,activity,fatal_(y/n),month,australia,season
726,surfing,no,october,,spring
727,swimming,no,october,,spring
728,surfing,yes,october,,spring
729,other_activities,no,october,,spring
730,surfing,no,october,,spring
731,other_activities,no,october,,spring
732,other_activities,no,october,,spring
733,swimming,no,october,,spring
734,surfing,no,october,,spring
735,other_activities,no,october,australia,spring
736,surfing,no,september,,spring
737,surfing,no,september,,spring
738,surfing,no,september,,spring
739,swimming,no,september,,spring
740,surfing,no,september,,spring
741,surfing,no,september,,spring
742,swimming,no,september,,spring
743,surfing,no,september,,spring
744,surfing,no,september,,spring
745,surfing,no,september,,spring
746,other_activities,no,september,,spring
747,fishing,no,september,,spring
748,swimming,no,september,,spring
749,fishing,no,august,,winter
750,surfing,no,august,australia,winter
751,swimming,yes,august,,winter
752,swimming,no,august,,winter
753,fishing,no,august,australia,winter
754,swimming,no,august,,winter
755,surfing,no,august,,winter
756,fishing,no,august,,winter
757,surfing,no,july,,winter
758,surfing,no,july,australia,winter
759,surfing,no,july,,winter
760,surfing,no,july,,winter
761,other_activities,no,july,,winter
762,surfing,yes,july,,winter
763,swimming,no,july,,winter
764,surfing,no,july,,winter
765,surfing,yes,july,australia,winter
766,swimming,no,july,,winter
767,fishing,no,july,,winter
768,swimming,no,july,australia,winter
769,other_activities,no,july,,winter
770,surfing,no,july,,winter
771,swimming,no,june,,winter
772,swimming,no,june,,winter
773,surfing,no,june,,winter
774,other_activities,no,june,,winter
775,surfing,no,june,australia,winter
776,swimming,no,june,,winter
777,surfing,no,june,australia,winter
778,other_activities,no,june,,winter
779,other_activities,no,june,,winter
780,fishing,no,june,,winter
781,swimming,no,june,,winter
782,swimming,no,june,,winter
783,swimming,no,june,,winter
784,swimming,no,june,,winter
785,surfing,no,june,australia,winter
786,other_activities,,june,,winter
787,surfing,no,june,australia,winter
788,surfing,no,june,,winter
789,other_activities,no,june,,winter
790,other_activities,no,may,,autumn
791,swimming,no,may,,autumn
792,surfing,no,may,,autumn
793,fishing,no,may,,autumn
794,fishing,no,may,,autumn
795,fishing,no,may,,autumn
796,swimming,no,may,,autumn
797,other_activities,no,may,,autumn
798,surfing,no,april,,autumn
799,other_activities,yes,april,,autumn
800,other_activities,no,april,australia,autumn
801,surfing,no,april,,autumn
802,other_activities,no,april,,autumn
803,swimming,yes,march,australia,autumn
804,surfing,no,march,,autumn
805,fishing,no,march,australia,autumn
806,surfing,no,march,australia,autumn
807,surfing,no,march,,autumn
808,surfing,no,march,,autumn
809,surfing,no,march,,autumn
810,surfing,no,march,,autumn
811,swimming,no,march,australia,autumn
812,other_activities,no,march,,autumn
813,surfing,no,march,,autumn
814,surfing,no,march,,autumn
815,fishing,no,march,,autumn
816,surfing,no,february,,summer
817,fishing,no,february,australia,summer
818,fishing,no,february,,summer
819,surfing,no,february,australia,summer
820,swimming,no,january,,summer
821,swimming,no,january,australia,summer
822,swimming,no,january,,summer
823,fishing,no,january,,summer
824,surfing,no,january,australia,summer
825,swimming,yes,january,,summer
826,surfing,no,january,,summer
827,surfing,no,january,australia,summer
828,fishing,no,january,australia,summer
829,other_activities,no,december,,summer
830,swimming,no,december,,summer
831,surfing,no,december,,summer
832,surfing,no,december,,summer
833,other_activities,no,december,,summer
834,fishing,no,december,,summer
835,surfing,no,december,australia,summer
836,surfing,no,december,,summer
837,surfing,no,december,australia,summer
838,surfing,no,december,,summer
839,fishing,no,december,australia,summer
840,surfing,no,december,australia,summer
841,surfing,no,november,,spring
842,swimming,no,november,australia,spring
843,other_activities,no,november,,spring
844,swimming,no,november,,spring
845,surfing,no,november,,spring
846,swimming,no,november,,spring
847,surfing,no,october,,spring
848,surfing,no,october,,spring
849,swimming,no,october,,spring
850,swimming,yes,october,australia,spring
851,surfing,no,october,,spring
852,swimming,no,october,australia,spring
853,surfing,no,october,,spring
854,surfing,no,october,,spring
855,swimming,yes,october,australia,spring
856,other_activities,no,october,,spring
857,fishing,no,october,,spring
858,other_activities,no,october,,spring
859,surfing,no,september,,spring
860,fishing,no,september,,spring
861,swimming,no,september,,spring
862,fishing,no,september,,spring
863,other_activities,no,september,,spring
864,other_activities,no,september,,spring
865,other_activities,yes,september,,spring
866,swimming,yes,september,,spring
867,surfing,no,september,,spring
868,surfing,no,september,,spring
869,surfing,no,september,,spring
870,surfing,no,september,,spring
871,other_activities,yes,september,australia,spring
872,surfing,no,september,,spring
873,surfing,no,august,,winter
874,swimming,no,august,australia,winter
875,fishing,no,august,,winter
876,other_activities,no,august,,winter
877,surfing,no,august,,winter
878,other_activities,no,august,,winter
879,surfing,yes,august,,winter
880,swimming,no,august,,winter
881,other_activities,no,august,,winter
882,other_activities,no,august,,winter
883,swimming,no,august,,winter
884,surfing,no,august,,winter
885,other_activities,no,august,,winter
886,swimming,yes,august,,winter
887,surfing,no,august,,winter
888,swimming,no,august,,winter
889,swimming,yes,august,,winter
890,swimming,no,july,,winter
891,other_activities,no,july,,winter
892,fishing,no,july,,winter
893,surfing,no,july,,winter
894,other_activities,no,july,,winter
895,other_activities,no,july,,winter
896,surfing,no,july,,winter
897,swimming,no,july,,winter
898,swimming,no,july,,winter
899,fishing,no,july,,winter
900,surfing,no,july,,winter
901,other_activities,no,july,,winter
902,swimming,no,june,,winter
903,surfing,no,june,,winter
904,swimming,no,june,,winter
905,surfing,no,june,,winter
906,surfing,no,june,,winter
