,date,country,activity,fatal_(y/n),month,australia
279,03-may-2016,usa,other_activities,no,may,
280,02-may-2016,new_zealand,fishing,no,may,
281,25-apr-2016,indonesia,surfing,no,april,
282,23-apr-2016,usa,surfing,no,april,
283,22-apr-2016,south_africa,surfing,no,april,
284,19-apr-2016,australia,swimming,no,april,australia
285,18-apr-2016,french_polynesia,fishing,,april,
286,18-apr-2016,french_polynesia,fishing,no,april,
287,13-apr-2016,usa,fishing,no,april,
288,09-apr-2016,new_caledonia,other_activities,yes,april,
289,08-apr-2016,cape_verde,other_activities,no,april,
290,07-apr-2016,usa,fishing,no,april,
291,07-apr-2016,usa,other_activities,no,april,
292,31-mar-2016,usa,swimming,no,march,
293,30-mar-2016,australia,surfing,no,march,australia
294,28-mar-2016,usa,other_activities,no,march,
295,28-mar-2016,australia,surfing,no,march,australia
296,26-mar-2016,bahamas,other_activities,no,march,
297,13-mar-2016,usa,surfing,no,march,
298,11-mar-2016,usa,surfing,no,march,
299,10-mar-2016,fiji,swimming,yes,march,
300,04-mar-2016,usa,other_activities,no,march,
301,reported_03-mar-2016,australia,fishing,no,march,australia
302,02-mar-2016,brazil,swimming,no,march,
303,22-feb-2016,new_caledonia,surfing,no,february,
304,19-feb-2016,new_caledonia,fishing,no,february,
305,12-feb-2016,dominican_republic,other_activities,no,february,
306,reported_10-feb-2016,cayman_islands,other_activities,no,february,
307,10-feb-2016,australia,surfing,no,february,australia
308,05-feb-2016,australia,other_activities,no,february,australia
309,04-feb-2016,australia,surfing,no,february,australia
310,02-feb-2016,brazil,swimming,no,february,
311,29-jan-2016,south_africa,fishing,no,january,
312,28-jan-2016,usa,surfing,no,january,
313,25-jan-2016,usa,surfing,no,january,
314,24-jan-2016,usa,fishing,no,january,
315,24-jan-2016,united_arab_emirates,fishing,no,january,
316,23-jan-2016,usa,other_activities,no,january,
317,reported_11-jan-2016,australia,surfing,no,january,australia
318,05-jan-2016,australia,other_activities,no,january,australia
319,02-jan-2016,australia,fishing,no,january,australia
320,26-dec-2015,south_africa,fishing,no,december,
321,25-dec-2015,spain,swimming,no,december,
322,22-dec-2015,usa,other_activities,no,december,
323,21-dec-2015,australia,surfing,no,december,australia
324,21-dec-2015,brazil,swimming,no,december,
325,19-dec-2015,aruba,other_activities,yes,december,
326,13-dec-2015,australia,fishing,no,december,australia
327,11-dec-2015,bahamas,fishing,no,december,
328,08-dec-2015,south_africa,swimming,no,december,
329,20-nov-2015,ecuador,swimming,no,november,
330,16-nov-2015,usa,surfing,no,november,
331,15-nov-2015,usa,swimming,no,november,
332,15-nov-2015,usa,surfing,no,november,
333,10-nov-2015,australia,surfing,no,november,australia
334,07-nov-2015,usa,surfing,no,november,
335,03-nov-2015,usa,swimming,no,november,
336,01-nov-2015,usa,other_activities,no,november,
337,01-nov-2015,mozambique,fishing,no,november,
338,30-oct-2015,australia,fishing,no,october,australia
339,28-oct-2015,usa,other_activities,no,october,
340,25-oct-2015,south_africa,surfing,no,october,
341,21-oct-2015,usa,surfing,no,october,
342,19-oct-2015,usa,surfing,no,october,
343,17-oct-2015,mozambique,fishing,yes,october,
344,17-oct-2015,usa,surfing,no,october,
345,17-oct-2015,usa,swimming,no,october,
346,13-oct-2015,usa,fishing,no,october,
347,09-oct-2015,usa,other_activities,no,october,
348,09-oct-2015,usa,surfing,no,october,
349,08-oct-2015,mozambique,fishing,no,october,
350,07-oct-2015,australia,surfing,no,october,australia
351,05-oct-2015,usa,other_activities,no,october,
352,05-oct-2015,usa,other_activities,no,october,
353,04-oct-2015,usa,surfing,no,october,
354,29-sep-2015,usa,surfing,no,september,
355,26-sep-2015,australia,swimming,no,september,australia
356,24-sep-2015,usa,fishing,no,september,
357,20-sep-2015,usa,surfing,no,september,
358,20-sep-2015,usa,fishing,no,september,
359,20-sep-2015,usa,other_activities,no,september,
360,20-sep-2015,usa,fishing,no,september,
361,19-sep-2015,usa,fishing,no,september,
362,18-sep-2015,usa,swimming,no,september,
363,17-sep-2015,usa,surfing,no,september,
364,08-sep-2015,australia,surfing,no,september,australia
365,06-sep-2015,usa,other_activities,no,september,
366,05-sep-2015,usa,fishing,no,september,
367,04-sep-2015,australia,surfing,no,september,australia
368,03-sep-2015,usa,other_activities,no,september,
369,01-sep-2015,thailand,other_activities,no,september,
370,sep-2015,fiji,fishing,no,september,
371,29-aug-2015,usa,surfing,no,august,
372,29-aug-2015,usa,surfing,no,august,
373,22-aug-2015,usa,other_activities,no,august,
374,22-aug-2015,australia,surfing,no,august,australia
375,20-aug-2015,usa,surfing,no,august,
376,19-aug-2015,usa,other_activities,no,august,
377,18-aug-2015,usa,fishing,no,august,
378,18-aug-2015,spain,swimming,no,august,
379,10-aug-2015,usa,fishing,no,august,
380,31-jul-2015,australia,surfing,no,july,australia
381,28-jul-2015,costa_rica,surfing,no,july,
382,27-jul-2015,australia,surfing,no,july,australia
383,26-jul-2015,usa,surfing,no,july,
384,26-jul-2015,usa,other_activities,no,july,
385,25-jul-2015,australia,swimming,yes,july,australia
386,23-jul-2015,usa,fishing,no,july,
387,23-jul-2015,australia,surfing,no,july,australia
388,22-jul-2015,reunion,surfing,no,july,
389,19-jul-2015,south_africa,surfing,no,july,
390,10-jul-2015,usa,surfing,no,july,
391,08-jul-2015,usa,other_activities,no,july,
392,06-jul-2015,french_polynesia,swimming,no,july,
393,04-jul-2015,bahamas,fishing,no,july,
394,04-jul-2015,usa,other_activities,no,july,
